,date,text,user
109,2019-09-24 11:04:38+00:00,we have always respected the principle of the separation of powers upon which our constitutional law is founded therefore the judgement of the supreme court has to be respected our focus must remain defend the union deliver brexit restore devolution,DUPleader
111,2019-09-18 20:22:53+00:00,thank you to the dublin chamber of commerce for a wonderful evening of engagement great opportunity to explain why we want a sensible deal regardless of the final outcomes on brexit we must work together in the future as friends and neighbours ,DUPleader
131,2019-09-03 21:41:44+00:00,its time to respect the referendum result focus on getting a sensible deal rather than playing games those tying the govts hands are really trying to cancel brexit we will fight any election on defending the union our record of delivery ,DUPleader
151,2019-08-07 13:48:57+00:00,with my local councillors at fermanagh show today the even made an appearance good to catch up with local farmers and businesses on everything from brexit to stormont and what s happening locally always a family fun day out ,DUPleader
154,2019-07-31 07:21:43+00:00,busy round of breakfast media from stormont meeting the prime minister later we want to see devolution restored in northern ireland brexit delivered and the union strengthened ,DUPleader
159,2019-07-23 11:20:25+00:00,congratulations to on becoming conservative party leader look forward to discussing our shared objectives of strengthening the union delivering brexit amp restoring devolution ,DUPleader
163,2019-07-19 13:35:37+00:00,talking about the opportunities and links that exist in india post brexit also the need to form an executive in ni positive meeting today with british high commissioner mrs ruchi ghanashyam and indian honorary consul lord rana ,DUPleader
181,2019-06-21 13:41:57+00:00,dup dodds anger as dutch pm says brexit may see violence return,DUPleader
197,2019-05-27 16:23:28+00:00,absolutely delighted for the hard working who is ni s first elected mep today well done diane time now to deliver brexit ,DUPleader
201,2019-05-23 13:44:47+00:00,if you want to deliver brexit defend the union and reject the backstop then vote today let s send a message to brussels and london ,DUPleader
202,2019-05-22 09:44:02+00:00,caught up with our dup representatives out on the doors last night in fivemiletown tomorrow you have an opportunity to send a message to brussels and london tell them again reject the backstop and deliver brexit vote ,DUPleader
203,2019-05-18 13:43:12+00:00,last day at great mood in the stand great engagement consistent message defend the union deliver brexit,DUPleader
208,2019-05-15 20:36:15+00:00,always good to be at balmoral show from sampling local produce to talking about brexit day finished see you tomorrow at stand ,DUPleader
209,2019-05-14 10:04:56+00:00,you should watch this incredible insight to the bitterness and disdain for the united kingdom s democratic decision to leave the eu it s time to defend the union amp deliver brexit vote dup vote dodds ,DUPleader
210,2019-05-11 16:56:28+00:00,great weather and atmosphere at cs lewis square for the east belfast protestant boys family fun day lots of support for and our party as we want to see brexit delivered and the union strengthened ,DUPleader
244,2019-04-08 11:56:22+00:00,always good to meet with mme meifang zhang the chinese consul general to belfast discussed opportunities post brexit for our two countries ,DUPleader
246,2019-04-06 13:13:47+00:00,starting off with a good breakfast in blossomhill this morning before heading on the campaign trail with our dup candidate for mid tyrone james managh brilliant welcome and lots of discussion and support for our brexit position ,DUPleader
311,2019-01-18 11:11:30+00:00,something a little different this morning but still brexit ,DUPleader
330,2018-12-10 20:06:22+00:00,aside from all the brexit happenings i took some time this evening to see the amazing light canopy show in lisburn with the mayor uel mackin and dup cllr allan ewart well worth a visit ,DUPleader
348,2018-11-15 12:42:05+00:00,meeting the home secretary on a range of brexit issues with ,DUPleader
359,2018-11-09 16:40:17+00:00,with ni business representatives this morning for useful engagement on brexit discussions around the need to push our economy forward and the importance of devolution ,DUPleader
360,2018-11-09 07:43:02+00:00,the pm s letter raises alarm bells for those who value the integrity of our precious union for those who want a proper brexit for the whole uk from her letter it appears the pm is wedded to the idea of a border down the irish sea with ni in the eu sm regulatory regime ,DUPleader
368,2018-10-26 15:01:12+00:00,really constructive discussion with the advocate general for ni geoffrey cox qc mp pressed the need for a sensible brexit which works for ni uk roi ,DUPleader
386,2018-10-16 07:23:57+00:00,there is a need for mutual understanding and cooperation meeting last night we talked about the need for both when it comes to brexit and the restoration of devolution importantly we need a brexit that works for everyone ,DUPleader
387,2018-10-15 14:49:33+00:00,im down in dublin today for a series of meeting high on the agenda was brexit and devolution as i met with the leader of fianna f il ,DUPleader
393,2018-10-11 16:54:37+00:00,the last of meetings in brussels for now meeting with danuta hubner who is part of the eu brexit steering group we have been clear and continue to reiterate our message there cannot be a barrier between gb and ni ,DUPleader
429,2018-09-13 20:26:59+00:00,with governor of bank of england mark carney discussing uk priorities post brexit solutions for the border with roi and the importance of a devolved government in northern ireland ,DUPleader
487,2018-07-04 17:39:10+00:00,meeting with deputy mayor of jerusalem fleur hassan steven jaffe and today great opportunities for knowledge transfer and innovation for our two economies particularly post brexit ,DUPleader
497,2018-06-25 12:27:42+00:00,clear passion from the dixon brothers for their business maine engineering good to view an example of an sme dreaming big setting targets and finding opportunities out of brexit ,DUPleader
533,2018-06-05 11:42:39+00:00,discussing brexit and city deals with members of londonderry chamber of commerce there are many opportunities for our businesses post brexit the north west has potential as a border region and with further investment ,DUPleader
595,2018-03-20 20:05:21+00:00,over in london for a series of meetings today i was at the bloomberg studio discussing brexit engagement with the us and promoting ni by encouraging trade and invest great view of st paul s cathedral in the background ,DUPleader
614,2018-03-03 08:50:49+00:00,great night in cookstown with cake was lovely lots of qs about budgets for schools roads broadband reforms to help doctors amp nurses a working executive a sensible brexit without devolution we are focused on getting key decisions made in london ,DUPleader
621,2018-02-26 17:32:17+00:00,jeremy corbyn should know that we needed a hard border years ago to stop semtex not powdered milk i want to see a sensible brexit a frictionless border with roi and no new border in the irish sea between ni and gb ,DUPleader
1130,2016-07-22 11:06:21+00:00,meeting the welsh first minister carwyn jones at the british irish council in cardiff today to discuss brexit ,DUPleader
